,location,BHK,total_sqft,bath,price
0,Alandi Road,2,1056.0,2.0,39.07
2,Anandnagar,3,1440.0,2.0,62.0
3,Aundh,3,1521.0,3.0,95.0
4,Aundh Road,2,1200.0,2.0,51.0
5,Balaji Nagar,2,1170.0,2.0,38.0
8,Bhandarkar Road,3,1310.0,3.0,63.25
10,Bibvewadi,3,1800.0,2.0,70.0
12,Budhwar Peth,2,1000.0,2.0,38.0
13,Bund Garden Road,2,1100.0,2.0,40.0
14,Camp,3,2250.0,3.0,148.0
15,Chandan Nagar,2,1175.0,2.0,73.5
16,Dapodi,3,1180.0,3.0,48.0
17,Deccan Gymkhana,3,1540.0,3.0,60.0
19,Dhankawadi,2,1100.0,2.0,48.0
20,Dhayari Phata,1,600.0,1.0,15.0
21,Dhole Patil Road,3,1755.0,3.0,122.0
23,Fatima Nagar,3,1767.0,3.0,103.0
24,Fergusson College Road,1,510.0,1.0,25.25
25,Ganesh Peth,3,1250.0,3.0,56.0
26,Ganeshkhind,2,660.0,1.0,23.1
27,Ghorpade Peth,3,1610.0,3.0,81.0
28,other,2,1151.0,2.0,48.77
29,Gokhale Nagar,3,1025.0,2.0,47.0
30,Gultekdi,4,2475.0,4.0,186.0
31,Guruwar peth,3,1075.0,2.0,35.0
32,Hadapsar,3,1760.0,2.0,123.0
33,Hadapsar Industrial Estate,3,1693.0,3.0,57.39
34,Hingne Khurd,3,1925.0,3.0,125.0
35,Jangali Maharaj Road,2,700.0,2.0,36.0
36,Kalyani Nagar,2,1070.0,2.0,45.5
37,Karve Nagar,3,1724.0,3.0,125.0
38,Karve Road,3,1290.0,2.0,56.12
39,Kasba Peth,2,1143.0,2.0,45.0
40,Katraj,2,1296.0,2.0,81.0
41,Khadaki,3,1254.0,3.0,38.0
42,Khadki,1,600.0,1.0,38.0
43,Kharadi,1,660.0,1.0,48.0
44,Kondhwa,2,1330.74,2.0,91.79
46,Kondhwa Khurd,2,970.0,2.0,33.0
47,Koregaon Park,2,1459.0,2.0,94.82
49,Law College Road,2,869.0,2.0,36.0
50,Laxmi Road,2,1270.0,2.0,50.0
51,Lulla Nagar,3,1670.0,3.0,99.0
52,Mahatma Gandhi Road,3,2010.0,3.0,91.0
53,Mangalwar peth,2,1185.0,2.0,75.0
54,Manik Bagh,3,1600.0,2.0,75.0
55,Market yard,2,1200.0,2.0,44.0
58,Mundhawa,6,1407.0,4.0,150.0
59,Nagar Road,2,840.0,2.0,45.0
61,Narayan Peth,2,845.0,2.0,55.0
63,Navi Peth,2,1160.0,2.0,44.0
65,Parvati Darshan,2,1100.0,2.0,62.0
66,Pashan,2,1140.0,2.0,43.0
67,Paud Road,2,1220.0,2.0,57.0
68,Pirangut,8,1350.0,7.0,85.0
69,Prabhat Road,2,1005.0,2.0,36.68
71,Rasta Peth,2,1358.0,2.0,80.58
72,Raviwar Peth,3,1569.0,3.0,101.0
73,Sadashiv Peth,2,1240.0,2.0,70.0
74,Sahakar Nagar,3,2089.0,3.0,140.0
75,Salunke Vihar,2,1206.0,2.0,48.23
76,Sasson Road,2,1150.0,2.0,40.0
77,Satara Road,3,2511.0,3.0,205.0
78,Senapati Bapat Road,2,460.0,1.0,22.0
80,Shivaji Nagar,3,1660.0,2.0,105.0
82,Sinhagad Road,2,1326.0,2.0,78.0
